fit_time,win_length_sec,weights,thresh,seed,sample,n_mfcc,max_points,hop_length_sec,distance,alpha,mean_auc,std_auc,rank,mean_train_auc,std_train_auc
7.149275302886963,0.6444444444444445,"(1, 1)",2777.777777777778,28,12,20,200,0.3666666666666667,<function wasserstein at 0x7d55b84b4ae0>,0.8277777777777778,0.7428812415654521,0.04913881236485555,62,0.7650737122959347,0.0815817018032713
5.726002136866252,0.8222222222222222,"(1,)",2777.777777777778,28,10,10,200,0.18888888888888888,<function wasserstein at 0x7d55b84b4ae0>,0.6111111111111112,0.7407798342008869,0.05338802536973388,63,0.7533057477501922,0.04059658625854366
23.46907679239909,1.0,"(1, 1)",1222.2222222222222,28,14,25,200,0.1,<function wasserstein at 0x7d55b84b4ae0>,0.8277777777777778,0.7335935993830732,0.035001204204528104,64,0.7680617736173292,0.029021438842849766
4.7763839562733965,0.7333333333333334,"(1, 2)",3000.0,28,11,20,250,0.3666666666666667,<function wasserstein at 0x7d55b84b4ae0>,0.8277777777777778,0.7335261229998072,0.11397474309126927,65,0.7525347080902637,0.042461413761344914
1.2579737504323323,0.37777777777777777,"(1, 1)",1222.2222222222222,28,11,10,250,0.5,<function wasserstein at 0x7d55b84b4ae0>,0.25,0.7287401195295932,0.1125665429678224,66,0.7853751187084521,0.03325193048435246
51.151121616363525,1.0,"(1, 1)",2777.777777777778,28,14,20,250,0.14444444444444446,<function wasserstein at 0x7d55b84b4ae0>,0.7555555555555556,0.7170040485829959,0.04486848874889723,67,0.7520892687559354,0.022845477834028394
0.9499224821726481,1.0,"(1, 2)",1000.0,28,17,20,150,0.5,<function wasserstein at 0x7d55b84b4ae0>,0.6111111111111112,0.7124831309041836,0.05498027512283999,68,0.8286754397865509,0.03524783849987298
2.72227144241333,0.5555555555555556,"(1,)",2555.5555555555557,28,11,10,100,0.1,<function wasserstein at 0x7d55b84b4ae0>,0.9,0.706174089068826,0.08605191085796465,69,0.6717564328675439,0.02607399843465216
4.9704521497090655,0.9111111111111112,"(1,)",3000.0,28,17,25,250,0.32222222222222224,<function wasserstein at 0x7d55b84b4ae0>,0.8277777777777778,0.7059186427607479,0.07423053233971613,70,0.6842502148057704,0.03458313247790024
20.6510063012441,0.9111111111111112,"(1, 1)",1444.4444444444443,28,16,20,250,0.23333333333333334,<function wasserstein at 0x7d55b84b4ae0>,0.8277777777777778,0.704689608636977,0.10134863352915771,71,0.7734251345362457,0.03813496576167225
